Date : 2025-01-12 13:47:58
Directory : /Users/tianqiyin/Desktop/LeetCode/leetcode_practice
Total : 159 files,  3357 codes, 2790 comments, 1122 blanks, all 7269 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        151 |      3,290 |      2,790 |      1,113 |      7,193 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/two-sum.js                                                   | JavaScript |         14 |         15 |          9 |         38 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/two-sum2-input-array-is-sorted.js                            | JavaScript |         16 |         20 |          3 |         39 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/unique-paths2.js                                             | JavaScript |         22 |         16 |          6 |         44 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/valid-anagram.js                                             | JavaScript |         18 |         16 |          6 |         40 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/valid-palindrome.js                                          | JavaScript |         24 |         20 |          5 |         49 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/valid-parentheses.js                                         | JavaScript |         25 |         27 |          4 |         56 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/valid-sudoku.js                                              | JavaScript |         31 |         29 |          8 |         68 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/validate-binary-search-tree.js                               | JavaScript |         16 |         17 |          7 |         40 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/word-break.js                                                | JavaScript |         14 |         17 |          7 |         38 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/word-ladder.js                                               | JavaScript |         21 |         14 |         10 |         45 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/word-pattern.js                                              | JavaScript |         29 |         30 |          7 |         66 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/word-search.js                                               | JavaScript |         33 |         11 |          7 |         51 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/word-search2.js                                              | JavaScript |         70 |          9 |         17 |         96 |
| Total                                                                                                            |            |      3,357 |      2,790 |      1,122 |      7,269 |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
